variable,level,reference,coef,variance,df,p_reference,p_level,imputation
disability,With disability,Without disability,0.161725349769712,0.00405022453191268,986,0.166752979443037,0.196024353121153,9
young,18-64,65+,0.749248608892652,0.00474676102175983,988,0.119932758455723,0.25370694686146,9
income_group,200-399%,400%+,0.670961000528812,0.0127228396284465,986,0.097980038422537,0.191660344982615,10
income_group,100-199%,400%+,0.843398620759683,0.0147289213837202,986,0.097980038422537,0.227730380860521,10
income_group,<100%,400%+,0.605185137708639,0.0189256983461426,986,0.097980038422537,0.17945938341164,10
insurance,Public without private,Private,-0.315044843443899,0.00500971312441428,986,0.199355541729998,0.145480932366126,10
insurance,Military only,Private,-0.181373445502068,0.0568053169599402,986,0.199355541729998,0.166287202166985,10
insurance,Uninsured,Private,0.698711732985215,0.0104212137491997,986,0.199355541729998,0.400935916545764,10
disability,With disability,Without disability,0.164492763011913,0.00401260889349999,986,0.166555711578151,0.196335046457999,10
young,18-64,65+,0.758634261116558,0.00476165883161679,988,0.119410225884831,0.25498356760935,10
