model,term,log_PR,se,PR,lower,upper,p,df,missing_information
M3,"splines::ns(age, df = 3)3",-2.06701434490208,0.157847259429879,0.126563091906252,0.0928498680699141,0.17251738280133,3.15780120618786e-36,981.124931415396,0.00450993932898143
M3,sex2,0.23690702570634,0.062612068360875,1.26732328381045,1.12079309890393,1.43301052376107,0.000163948652418281,971.560866675293,0.00945465528746285
M3,race2,0.182391363871912,0.118512755264036,1.20008377141743,0.95106216463389,1.51430801473834,0.12412577760776,982.55526657598,0.00341642549513244
M3,race3,0.130504052081372,0.132094852169145,1.13940255683608,0.879223522270834,1.47657353749084,0.323416639006082,983.458515855146,0.00259896073049689
M3,race4,-0.253302259164059,0.280703628025387,0.776233222756573,0.447468591016972,1.34654817836857,0.367074172068573,983.827275290663,0.0022215805119848
M3,race5,-0.194587432021129,0.342512659116254,0.823174203325774,0.420324807176119,1.61212414174045,0.570084939801478,982.974175878778,0.00305323565183417
M3,race6,0.0559500150164402,0.220926370187044,1.05754482105496,0.68550476017178,1.6315000471476,0.800127367732418,967.940731900509,0.0108625816925833
M3,race7,0.232250364173521,0.295040164569168,1.26143550755514,0.706994508997041,2.25068160992966,0.431365435640856,980.574981084387,0.00488582577385686
M3,region2,0.186782262645897,0.112711916575058,1.2053648035319,0.966182982631687,1.50375688219644,0.0978059609233714,980.596477367701,0.00487150490049915
M3,region3,0.350398635123029,0.105385881314977,1.41963335152705,1.15441208167624,1.74578808101311,0.000917199309436261,981.946554184248,0.00390572201677126
M3,region4,0.218025384538234,0.130495901309019,1.2436186359032,0.962657802345271,1.60658056040045,0.0950904473846504,982.73015952824,0.00326774058727536
M3,educationSome college or associate,-0.110968688529025,0.0869336400248989,0.8949667712164,0.7546002526558,1.06144348449729,0.202091137283327,975.6067658456,0.00766063792312083
M3,educationHigh school or GED,-0.293008329931842,0.0906351497091667,0.746015926409519,0.624458310578437,0.89123605696132,0.00126680329618808,975.196704685174,0.00785638042401255
M3,educationLess than high school,-0.225469480726498,0.10857385658193,0.798141418772443,0.644980859674436,0.987672292603596,0.0380955005907941,975.682769016005,0.00762394573850168
M3,income_group200-399%,0.72867819894813,0.117505331563334,2.07233957589261,1.64540981676171,2.61004357337727,9.37360283582331e-10,729.960881463834,0.0547894307203602
M3,income_group100-199%,0.915174133591934,0.128190873333733,2.49721006220419,1.94117356254732,3.21251958871239,3.47359149563171e-12,482.426928007184,0.0967766435020699
M3,income_group<100%,0.692502829519594,0.139841812954882,1.9987117130184,1.51888785734968,2.63011419337278,9.06336529771469e-07,755.976301092616,0.0508452982611814
